iter	Passed	Remaining
0	5	1776
1	10	1555
2	15	1532
3	20	1492
4	23	1403
5	27	1365
6	31	1319
7	35	1307
8	40	1305
9	44	1298
10	50	1317
11	54	1306
12	58	1291
13	63	1299
14	69	1322
15	75	1348
16	88	1471
17	94	1483
18	99	1476
19	104	1461
20	110	1473
21	115	1463
22	120	1448
23	126	1457
24	131	1450
25	158	1668
26	185	1875
27	196	1904
28	203	1906
29	209	1886
30	214	1859
31	218	1829
32	222	1797
33	227	1783
34	233	1771
35	238	1752
36	243	1730
37	250	1728
38	256	1715
39	260	1696
40	266	1682
41	270	1659
42	276	1651
43	280	1632
44	285	1618
45	291	1612
46	297	1601
47	303	1595
48	309	1587
49	316	1580
50	322	1575
51	327	1561
52	331	1547
53	336	1530
54	342	1525
55	347	1513
56	350	1496
57	356	1489
58	363	1485
59	369	1477
60	376	1475
61	381	1464
62	386	1453
63	392	1448
64	397	1437
65	402	1425
66	407	1415
67	411	1403
68	415	1391
69	420	1381
70	424	1368
71	429	1358
72	433	1347
73	437	1336
74	441	1324
75	445	1313
76	450	1304
77	455	1296
78	460	1287
79	464	1276
80	469	1269
81	474	1261
82	478	1251
83	483	1243
84	489	1238
85	495	1231
86	500	1225
87	505	1218
88	510	1211
89	515	1202
90	520	1195
91	524	1186
92	530	1179
93	537	1177
94	543	1172
95	551	1171
96	557	1166
97	562	1158
98	568	1154
99	573	1147
100	578	1138
101	584	1134
102	588	1125
103	593	1118
104	598	1112
105	604	1105
106	608	1097
107	614	1092
108	618	1084
109	623	1076
110	627	1069
111	634	1064
112	638	1057
113	642	1048
114	648	1043
115	653	1036
116	658	1030
117	664	1024
118	669	1017
119	673	1010
120	677	1002
121	683	996
122	688	990
123	692	982
124	697	976
125	702	970
126	706	962
127	711	955
128	715	949
129	720	942
130	724	934
131	730	929
132	734	922
133	739	915
134	744	910
135	749	903
136	753	896
137	757	889
138	763	883
139	767	876
140	771	870
141	776	863
142	780	856
143	784	850
144	788	842
145	793	837
146	797	829
147	801	823
148	805	816
149	810	810
150	814	804
151	819	797
152	823	791
153	827	784
154	831	777
155	835	771
156	839	764
157	843	757
158	847	751
159	851	744
160	855	738
161	860	733
162	864	726
163	868	720
164	871	713
165	877	708
166	881	702
167	885	696
168	890	690
169	895	684
170	899	678
171	903	672
172	908	667
173	913	661
174	917	655
175	921	649
176	926	643
177	930	637
178	934	632
179	939	626
180	944	621
181	948	615
182	953	609
183	958	604
184	963	599
185	968	593
186	972	587
187	976	581
188	980	575
189	984	570
190	990	565
191	994	559
192	998	553
193	1001	547
194	1005	541
195	1010	536
196	1014	530
197	1018	524
198	1022	518
199	1026	513
200	1031	507
201	1034	502
202	1039	496
203	1043	490
204	1046	485
205	1050	479
206	1055	474
207	1059	468
208	1063	463
209	1066	457
210	1071	451
211	1075	446
212	1079	440
213	1082	435
214	1086	429
215	1090	423
216	1094	418
217	1098	413
218	1102	407
219	1106	402
220	1110	396
221	1114	391
222	1118	386
223	1122	380
224	1126	375
225	1129	369
226	1133	364
227	1137	359
228	1141	353
229	1145	348
230	1149	343
231	1152	337
232	1156	332
233	1160	327
234	1164	322
235	1170	317
236	1173	311
237	1177	306
238	1181	301
239	1186	296
240	1190	291
241	1194	286
242	1198	281
243	1202	275
244	1205	270
245	1209	265
246	1214	260
247	1219	255
248	1223	250
249	1227	245
250	1232	240
251	1236	235
252	1240	230
253	1244	225
254	1249	220
255	1254	215
256	1258	210
257	1263	205
258	1269	200
259	1274	196
260	1279	191
261	1285	186
262	1289	181
263	1292	176
264	1297	171
265	1302	166
266	1306	161
267	1310	156
268	1316	151
269	1320	146
270	1324	141
271	1329	136
272	1334	131
273	1338	126
274	1341	121
275	1345	117
276	1349	112
277	1354	107
278	1358	102
279	1363	97
280	1367	92
281	1371	87
282	1375	82
283	1380	77
284	1384	72
285	1388	67
286	1392	63
287	1396	58
288	1400	53
289	1405	48
290	1408	43
291	1413	38
292	1417	33
293	1421	29
294	1424	24
295	1429	19
296	1432	14
297	1436	9
298	1440	4
299	1444	0
